Index,Reference.Paper,Year,Country,Type,Depth,Surface.Area,Flow,Hydraulic.Residence.Time..tau.,L_in_TN,L_out_TN,k_TN_PFR,k_TN_CSTR,L_in_NO3,L_out_NO3,k_NO3_PFR,k_NO3_CSTR,L_in_TP,L_out_TP,k_TP_PFR,k_TP_CSTR,L_in_PO4,L_out_PO4,k_PO4_PFR,k_PO4_CSTR
1,Seitzinger,2006,Canada,Lake,8.5,523500,832365,1951.2578616352203,2.2230821917808221,0.59521232876712327,6.7532421808068474E-4,1.4016290787646965E-3,1.5507073972602738,0.20067978082191781,1.0479168457921656E-3,3.4476595121236543E-3,NA,NA,NA,NA,NA,NA,NA,NA
2,Seitzinger,2006,Canada,Lake,8.9,344099.99999999994,1517480.9999999998,736.62131519274374,1.4612465753424653,0.39123698630136977,1.7888861786979342E-3,3.7128164806370305E-3,2.8270878904109584,0.36585843287671233,2.7758577460617155E-3,9.132606657618194E-3,NA,NA,NA,NA,NA,NA,NA,NA
3,Seitzinger,2006,Canada,Lake,9.1999999999999993,567400,3262550,584,2.4095068493150684,0.64512602739726022,2.2563898795934833E-3,4.6831160257468207E-3,6.0781753424657534,0.78658739726027405,3.5012944926231951E-3,1.1519302615193015E-2,NA,NA,NA,NA,NA,NA,NA,NA
4,Seitzinger,2006,Canada,Lake,5,936000,2602080,656.47482014388481,3.9747945205479449,1.0642191780821917,2.0072844368863624E-3,4.166100016504375E-3,4.8477106849315073,0.62735079452054798,3.1147515806375947E-3,1.0247571606475719E-2,NA,NA,NA,NA,NA,NA,NA,NA
5,Seitzinger,2006,Canada,Lake,13.3,713800,3040788,1139.5539906103286,3.0312054794520549,0.81158082191780823,1.1563573999480586E-3,2.4000089346985229E-3,5.6650296986301374,0.73312149041095886,1.7943476136631352E-3,5.9034260620417812E-3,NA,NA,NA,NA,NA,NA,NA,NA
6,Seitzinger,2006,Canada,Lake,7.9,321400,668512,1386.2980769230769,1.3648493150684931,0.36542739726027396,9.5053993915026713E-4,1.9728367257829658E-3,1.2454470136986302,0.16117549589041097,1.4749757052468346E-3,4.8526884940965015E-3,NA,NA,NA,NA,NA,NA,NA,NA
7,Seitzinger,2006,Canada,Lake,14.2,571300,3296400.9999999995,898.26689774696729,2.4260684931506846,0.64956027397260274,1.4669712231272555E-3,3.0446850105418761E-3,6.1412402191780808,0.79474873424657522,2.2763345602744597E-3,7.4891691368635226E-3,NA,NA,NA,NA,NA,NA,NA,NA
8,Kelly et al.,1987,NA,Lake,7.1,NA,NA,21.9,NA,NA,3.3137302664308448E-3,3.4369322924338464E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Kelly et al.,1987,Norway,Lake,2.4,NA,NA,73,NA,NA,6.1135219538139655E-3,7.7054794520547941E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Kelly et al.,1987,Canada,Lake,12.4,NA,NA,857.75,NA,NA,1.0113676102649059E-3,1.609970715187853E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Kelly et al.,1987,Canada,Lake,8,NA,NA,1397.95,NA,NA,1.1879761127519947E-3,3.049578235800167E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Kelly et al.,1987,Canada,Lake,5.7,NA,NA,2117,NA,NA,5.687164876362475E-4,1.1021886317115414E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Kelly et al.,1987,Canada,Lake,10.9,NA,NA,2263,NA,NA,9.3692599920463593E-4,3.2405361614376198E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Kelly et al.,1987,Canada,Lake,5.0999999999999996,NA,NA,3029.5000000000005,NA,NA,1.2913097888853423E-3,1.6174286185839232E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
